location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total
unit,°C,mm,%,km/h,°,%
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total
20240110T1600,-1.3197546,0.0,86.893906,5.692099,55.304832,10.8
20240110T1700,-2.1197548,0.0,90.47174,6.193674,54.46232,3.6000001
20240110T1800,-2.0697546,0.0,90.81773,5.95906,64.98311,3.3000002
20240110T1900,-2.1897545,0.0,91.76784,6.6185193,67.61986,3.3000002
20240110T2000,-2.5497546,0.0,91.183044,6.6185193,67.61986,1.2
20240110T2100,-2.8097544,0.0,91.711464,6.6185193,67.61986,1.8000001
20240110T2200,-2.9097548,0.0,91.0796,5.6920996,71.56504,14.0
20240110T2300,-3.1097546,0.0,90.71539,4.3349743,94.76365,3.0
20240111T0000,-3.3197546,0.0,91.10898,3.4152596,71.56504,4.5
20240111T0100,-3.3797545,0.0,90.55046,3.8268526,41.18593,6.6000004
20240111T0200,-3.519755,0.0,89.16612,4.1046314,52.125,8.0
20240111T0300,-3.5397549,0.0,88.21562,2.6208394,74.054596,6.0
20240111T0400,-3.4497547,0.0,86.02789,2.6208394,74.054596,12.0
20240111T0500,-4.0097547,0.0,87.41808,4.1046314,52.125,14.0
20240111T0600,-4.1097546,0.0,87.742004,5.3517847,47.726303,14.0
20240111T0700,-4.369755,0.0,88.59176,6.3690495,47.29059,14.0
20240111T0800,-3.8697548,0.0,89.12675,6.3690495,47.29059,12.0
20240111T0900,-2.4897547,0.0,85.04981,4.8965297,36.027374,14.0
20240111T1000,-3.6697545,0.0,85.14428,4.6102495,51.34018,27.0
20240111T1100,-2.1897545,0.0,84.70507,5.5887027,75.06858,17.0
20240111T1200,-1.4197546,0.0,83.10207,5.991594,57.26477,13.0
20240111T1300,-0.8197546,0.0,82.75533,6.3690495,42.70938,11.0
20240111T1400,-0.97975457,0.0,83.356255,6.297428,30.963745,8.0
20240111T1500,-2.3597546,0.0,85.45649,4.896529,17.102722,11.0
20240111T1600,-2.8797545,0.0,85.77664,7.172949,17.525558,7.0
20240111T1700,-4.309755,0.0,87.91999,8.699793,24.443954,5.0
20240111T1800,-4.1297545,0.0,89.16565,7.145796,40.914368,7.0
20240111T1900,-5.0697546,0.0,90.93498,7.653705,48.81407,5.0
20240111T2000,-4.8597546,0.0,91.02635,7.8954163,46.847595,2.0
20240111T2100,-4.459755,0.0,90.09265,6.6087217,60.64225,0.0
20240111T2200,-4.559755,0.0,89.25407,4.3349743,94.76365,2.0
20240111T2300,-4.829755,0.0,89.36116,4.896529,107.10272,1.0
20240112T0000,-5.1897545,0.0,88.97525,4.2136917,109.9831,0.0
20240112T0100,-5.309755,0.0,88.41118,4.5536795,71.56504,0.0
20240112T0200,-5.4897547,0.0,88.80216,5.2416787,74.054596,0.0
20240112T0300,-5.559755,0.0,89.90368,5.6920996,71.56504,0.0
20240112T0400,-5.639755,0.0,89.5465,5.6920996,71.56504,3.0
20240112T0500,-6.1097546,0.0,90.263626,5.0528407,85.91438,2.0
20240112T0600,-6.4697547,0.0,90.436066,4.73506,98.74616,6.0
20240112T0700,-6.389755,0.0,90.79842,5.0528407,85.91438,4.0
20240112T0800,-5.209755,0.0,90.43026,4.68,89.99999,3.0
20240112T0900,-3.5397549,0.0,85.68674,3.319036,77.47118,1.0
20240112T1000,-2.9297547,0.0,80.800255,3.4152596,71.56504,16.0
20240112T1100,-3.6797547,0.0,86.459854,3.2599385,83.65981,19.0
20240112T1200,-2.6397548,0.0,83.67865,3.6,53.130096,14.0
20240112T1300,-2.0997548,0.0,82.87261,4.6938257,32.47119,13.0
20240112T1400,-2.2197547,0.0,83.23325,3.8773184,21.801407,8.0
20240112T1500,-2.8197546,0.0,84.22872,4.6938252,4.398697,5.0
20240112T1600,-3.8997545,0.0,88.03751,6.5693827,9.462311,5.0
20240112T1700,-4.289755,0.0,91.01352,5.95906,25.016876,3.0
20240112T1800,-3.769755,0.0,90.92613,5.0911684,44.999985,1.0
20240112T1900,-4.3997545,0.0,92.54983,5.692099,55.304832,2.0
20240112T2000,-4.6097546,0.0,92.176994,5.315336,61.699234,3.0
20240112T2100,-4.3397546,0.0,91.70865,4.896529,72.89727,5.0
20240112T2200,-5.1997547,0.0,92.193695,3.2599385,96.34019,52.0
20240112T2300,-5.5697546,0.0,93.09043,4.39436,124.99202,36.0
20240113T0000,-5.289755,0.0,92.54173,4.1046314,127.874985,26.0
20240113T0100,-4.6597548,0.0,91.186516,3.0547013,135.0,33.0
20240113T0200,-4.7597547,0.0,90.33835,2.0364676,135.0,73.0
20240113T0300,-4.849755,0.0,89.35889,3.0547013,135.0,71.0
20240113T0400,-5.1697545,0.0,89.3917,3.6,143.1301,69.0
